year,quarter,sex,age,acf,population,hiv,n,hiv_prev,hivpop,period,acfperiod
2013,2,males,20-29,ACF,26378,,2,0.038,,bACF,ACF.bACF
2013,2,males,20-29,ACF,26378,a) HIV-negative,5,0.038,25375.636,bACF,ACF.bACF
2013,2,males,20-29,ACF,26378,b) HIV-positive,5,0.038,1002.364,bACF,ACF.bACF
2013,3,males,20-29,ACF,26398,a) HIV-negative,12,0.038,25394.876,bACF,ACF.bACF
2013,3,males,20-29,ACF,26398,b) HIV-positive,4,0.038,1003.124,bACF,ACF.bACF
2013,4,males,20-29,ACF,26418,,2,0.038,,bACF,ACF.bACF
2013,4,males,20-29,ACF,26418,a) HIV-negative,7,0.038,25414.116,bACF,ACF.bACF
2013,4,males,20-29,ACF,26418,b) HIV-positive,7,0.038,1003.884,bACF,ACF.bACF
2014,1,males,20-29,ACF,26438,,3,0.038,,bACF,ACF.bACF
2014,1,males,20-29,ACF,26438,a) HIV-negative,13,0.038,25433.356,bACF,ACF.bACF
2014,1,males,20-29,ACF,26438,b) HIV-positive,5,0.038,1004.644,bACF,ACF.bACF
2014,2,males,20-29,ACF,26458,,3,0.038,,bACF,ACF.bACF
2014,2,males,20-29,ACF,26458,a) HIV-negative,9,0.038,25452.596,bACF,ACF.bACF
2014,2,males,20-29,ACF,26458,b) HIV-positive,10,0.038,1005.404,bACF,ACF.bACF
2014,3,males,20-29,ACF,26479,a) HIV-negative,15,0.038,25472.798,bACF,ACF.bACF
2014,3,males,20-29,ACF,26479,b) HIV-positive,6,0.038,1006.202,bACF,ACF.bACF
2014,4,males,20-29,ACF,26499,a) HIV-negative,9,0.038,25492.038,cpost-ACF,ACF.cpost-ACF
2014,4,males,20-29,ACF,26499,b) HIV-positive,12,0.038,1006.962,cpost-ACF,ACF.cpost-ACF
2015,1,males,20-29,ACF,26519,,2,0.038,,cpost-ACF,ACF.cpost-ACF
2015,1,males,20-29,ACF,26519,a) HIV-negative,12,0.038,25511.278,cpost-ACF,ACF.cpost-ACF
2015,1,males,20-29,ACF,26519,b) HIV-positive,9,0.038,1007.722,cpost-ACF,ACF.cpost-ACF
2015,2,males,20-29,ACF,26539,,2,0.038,,cpost-ACF,ACF.cpost-ACF
2015,2,males,20-29,ACF,26539,a) HIV-negative,7,0.038,25530.518,cpost-ACF,ACF.cpost-ACF
2015,2,males,20-29,ACF,26539,b) HIV-positive,11,0.038,1008.482,cpost-ACF,ACF.cpost-ACF
2015,3,males,20-29,ACF,26559,,1,0.038,,cpost-ACF,ACF.cpost-ACF
2015,3,males,20-29,ACF,26559,a) HIV-negative,7,0.038,25549.758,cpost-ACF,ACF.cpost-ACF
2015,3,males,20-29,ACF,26559,b) HIV-positive,9,0.038,1009.242,cpost-ACF,ACF.cpost-ACF
2015,4,males,20-29,ACF,26579,,1,0.038,,cpost-ACF,ACF.cpost-ACF
2015,4,males,20-29,ACF,26579,a) HIV-negative,6,0.038,25568.998,cpost-ACF,ACF.cpost-ACF
2015,4,males,20-29,ACF,26579,b) HIV-positive,4,0.038,1010.002,cpost-ACF,ACF.cpost-ACF
2016,1,males,20-29,ACF,26599,a) HIV-negative,9,0.038,25588.238,cpost-ACF,ACF.cpost-ACF
2016,1,males,20-29,ACF,26599,b) HIV-positive,4,0.038,1010.762,cpost-ACF,ACF.cpost-ACF
2016,2,males,20-29,ACF,26619,a) HIV-negative,4,0.038,25607.478,cpost-ACF,ACF.cpost-ACF
2016,2,males,20-29,ACF,26619,b) HIV-positive,9,0.038,1011.522,cpost-ACF,ACF.cpost-ACF
2016,3,males,20-29,ACF,26640,a) HIV-negative,10,0.038,25627.68,cpost-ACF,ACF.cpost-ACF
2016,3,males,20-29,ACF,26640,b) HIV-positive,9,0.038,1012.32,cpost-ACF,ACF.cpost-ACF
2016,4,males,20-29,ACF,26660,a) HIV-negative,14,0.038,25646.92,cpost-ACF,ACF.cpost-ACF
2016,4,males,20-29,ACF,26660,b) HIV-positive,8,0.038,1013.08,cpost-ACF,ACF.cpost-ACF
2017,1,males,20-29,ACF,26680,a) HIV-negative,13,0.038,25666.16,cpost-ACF,ACF.cpost-ACF
2017,1,males,20-29,ACF,26680,b) HIV-positive,6,0.038,1013.84,cpost-ACF,ACF.cpost-ACF
2017,2,males,20-29,ACF,26700,a) HIV-negative,10,0.038,25685.4,cpost-ACF,ACF.cpost-ACF
2017,2,males,20-29,ACF,26700,b) HIV-positive,2,0.038,1014.6,cpost-ACF,ACF.cpost-ACF
2017,3,males,20-29,ACF,26720,,1,0.038,,cpost-ACF,ACF.cpost-ACF
2017,3,males,20-29,ACF,26720,a) HIV-negative,12,0.038,25704.64,cpost-ACF,ACF.cpost-ACF
2017,3,males,20-29,ACF,26720,b) HIV-positive,12,0.038,1015.36,cpost-ACF,ACF.cpost-ACF
2017,4,males,20-29,ACF,26740,a) HIV-negative,6,0.038,25723.88,cpost-ACF,ACF.cpost-ACF
2017,4,males,20-29,ACF,26740,b) HIV-positive,1,0.038,1016.12,cpost-ACF,ACF.cpost-ACF
2018,1,males,20-29,ACF,26760,a) HIV-negative,8,0.038,25743.12,cpost-ACF,ACF.cpost-ACF
2018,1,males,20-29,ACF,26760,b) HIV-positive,2,0.038,1016.88,cpost-ACF,ACF.cpost-ACF
2018,2,males,20-29,ACF,26781,a) HIV-negative,9,0.038,25763.322,cpost-ACF,ACF.cpost-ACF
2018,2,males,20-29,ACF,26781,b) HIV-positive,5,0.038,1017.678,cpost-ACF,ACF.cpost-ACF
2018,3,males,20-29,ACF,26800,a) HIV-negative,6,0.038,25781.6,cpost-ACF,ACF.cpost-ACF
2018,3,males,20-29,ACF,26800,b) HIV-positive,3,0.038,1018.4,cpost-ACF,ACF.cpost-ACF
2018,4,males,20-29,ACF,26820,a) HIV-negative,5,0.038,25800.84,cpost-ACF,ACF.cpost-ACF
2018,4,males,20-29,ACF,26820,b) HIV-positive,5,0.038,1019.16,cpost-ACF,ACF.cpost-ACF
2009,1,females,30-39,ACF,15683,,1,0.287,,apre-ACF,ACF.apre-ACF
2009,1,females,30-39,ACF,15683,a) HIV-negative,2,0.287,11181.979,apre-ACF,ACF.apre-ACF
2009,1,females,30-39,ACF,15683,b) HIV-positive,3,0.287,4501.021,apre-ACF,ACF.apre-ACF
2009,2,females,30-39,ACF,15935,,4,0.287,,apre-ACF,ACF.apre-ACF
2009,2,females,30-39,ACF,15935,a) HIV-negative,4,0.287,11361.655,apre-ACF,ACF.apre-ACF
2009,2,females,30-39,ACF,15935,b) HIV-positive,5,0.287,4573.345,apre-ACF,ACF.apre-ACF
2009,3,females,30-39,ACF,16186,,2,0.287,,apre-ACF,ACF.apre-ACF
2009,3,females,30-39,ACF,16186,a) HIV-negative,1,0.287,11540.618,apre-ACF,ACF.apre-ACF
2009,3,females,30-39,ACF,16186,b) HIV-positive,5,0.287,4645.382,apre-ACF,ACF.apre-ACF
2009,4,females,30-39,ACF,16437,,1,0.287,,apre-ACF,ACF.apre-ACF
2009,4,females,30-39,ACF,16437,a) HIV-negative,2,0.287,11719.581,apre-ACF,ACF.apre-ACF
2009,4,females,30-39,ACF,16437,b) HIV-positive,6,0.287,4717.419,apre-ACF,ACF.apre-ACF
2010,1,females,30-39,ACF,16688,,2,0.287,,apre-ACF,ACF.apre-ACF
2010,1,females,30-39,ACF,16688,b) HIV-positive,4,0.287,4789.456,apre-ACF,ACF.apre-ACF
2010,2,females,30-39,ACF,16939,,2,0.287,,apre-ACF,ACF.apre-ACF
2010,2,females,30-39,ACF,16939,a) HIV-negative,5,0.287,12077.507,apre-ACF,ACF.apre-ACF
2010,2,females,30-39,ACF,16939,b) HIV-positive,7,0.287,4861.493,apre-ACF,ACF.apre-ACF
2010,3,females,30-39,ACF,17190,,3,0.287,,apre-ACF,ACF.apre-ACF
2010,3,females,30-39,ACF,17190,a) HIV-negative,1,0.287,12256.47,apre-ACF,ACF.apre-ACF
2010,3,females,30-39,ACF,17190,b) HIV-positive,9,0.287,4933.53,apre-ACF,ACF.apre-ACF
2010,4,females,30-39,ACF,17442,a) HIV-negative,2,0.287,12436.146,apre-ACF,ACF.apre-ACF
2010,4,females,30-39,ACF,17442,b) HIV-positive,7,0.287,5005.854,apre-ACF,ACF.apre-ACF
2011,1,females,30-39,ACF,17693,,3,0.287,,apre-ACF,ACF.apre-ACF
2011,1,females,30-39,ACF,17693,a) HIV-negative,2,0.287,12615.109,apre-ACF,ACF.apre-ACF
2011,1,females,30-39,ACF,17693,b) HIV-positive,8,0.287,5077.891,apre-ACF,ACF.apre-ACF
2011,2,females,30-39,ACF,17944,,1,0.287,,bACF,ACF.bACF
2011,2,females,30-39,ACF,17944,a) HIV-negative,5,0.287,12794.072,bACF,ACF.bACF
2011,2,females,30-39,ACF,17944,b) HIV-positive,12,0.287,5149.928,bACF,ACF.bACF
2011,3,females,30-39,ACF,18195,a) HIV-negative,2,0.287,12973.035,bACF,ACF.bACF
2011,3,females,30-39,ACF,18195,b) HIV-positive,14,0.287,5221.965,bACF,ACF.bACF
2011,4,females,30-39,ACF,18446,,4,0.287,,bACF,ACF.bACF
2011,4,females,30-39,ACF,18446,a) HIV-negative,2,0.287,13151.998,bACF,ACF.bACF
2011,4,females,30-39,ACF,18446,b) HIV-positive,15,0.287,5294.002,bACF,ACF.bACF
2012,1,females,30-39,ACF,18697,,1,0.287,,bACF,ACF.bACF
2012,1,females,30-39,ACF,18697,a) HIV-negative,4,0.287,13330.961,bACF,ACF.bACF
2012,1,females,30-39,ACF,18697,b) HIV-positive,19,0.287,5366.039,bACF,ACF.bACF
2012,2,females,30-39,ACF,18949,a) HIV-negative,4,0.287,13510.637,bACF,ACF.bACF
2012,2,females,30-39,ACF,18949,b) HIV-positive,12,0.287,5438.363,bACF,ACF.bACF
2012,3,females,30-39,ACF,19200,,1,0.287,,bACF,ACF.bACF
2012,3,females,30-39,ACF,19200,b) HIV-positive,15,0.287,5510.4,bACF,ACF.bACF
2012,4,females,30-39,ACF,19451,a) HIV-negative,4,0.287,13868.563,bACF,ACF.bACF
2012,4,females,30-39,ACF,19451,b) HIV-positive,10,0.287,5582.437,bACF,ACF.bACF
2013,1,females,30-39,ACF,19703,,1,0.287,,bACF,ACF.bACF
2013,1,females,30-39,ACF,19703,b) HIV-positive,10,0.287,5654.761,bACF,ACF.bACF
2013,2,females,30-39,ACF,19954,,1,0.287,,bACF,ACF.bACF
2013,2,females,30-39,ACF,19954,a) HIV-negative,2,0.287,14227.202,bACF,ACF.bACF
2013,2,females,30-39,ACF,19954,b) HIV-positive,8,0.287,5726.798,bACF,ACF.bACF
2013,3,females,30-39,ACF,20205,a) HIV-negative,2,0.287,14406.165,bACF,ACF.bACF
2013,3,females,30-39,ACF,20205,b) HIV-positive,14,0.287,5798.835,bACF,ACF.bACF
2013,4,females,30-39,ACF,20456,,2,0.287,,bACF,ACF.bACF
2013,4,females,30-39,ACF,20456,a) HIV-negative,3,0.287,14585.128,bACF,ACF.bACF
2013,4,females,30-39,ACF,20456,b) HIV-positive,8,0.287,5870.872,bACF,ACF.bACF
2014,1,females,30-39,ACF,20707,,2,0.287,,bACF,ACF.bACF
2014,1,females,30-39,ACF,20707,a) HIV-negative,4,0.287,14764.091,bACF,ACF.bACF
2014,1,females,30-39,ACF,20707,b) HIV-positive,19,0.287,5942.909,bACF,ACF.bACF
2014,2,females,30-39,ACF,20959,,3,0.287,,bACF,ACF.bACF
2014,2,females,30-39,ACF,20959,a) HIV-negative,3,0.287,14943.767,bACF,ACF.bACF
2014,2,females,30-39,ACF,20959,b) HIV-positive,16,0.287,6015.233,bACF,ACF.bACF
2014,3,females,30-39,ACF,21210,,2,0.287,,bACF,ACF.bACF
2014,3,females,30-39,ACF,21210,a) HIV-negative,4,0.287,15122.73,bACF,ACF.bACF
2014,3,females,30-39,ACF,21210,b) HIV-positive,13,0.287,6087.27,bACF,ACF.bACF
2014,4,females,30-39,ACF,21461,b) HIV-positive,14,0.287,6159.307,cpost-ACF,ACF.cpost-ACF
2015,1,females,30-39,ACF,21712,,2,0.287,,cpost-ACF,ACF.cpost-ACF
2015,1,females,30-39,ACF,21712,a) HIV-negative,4,0.287,15480.656,cpost-ACF,ACF.cpost-ACF
2015,1,females,30-39,ACF,21712,b) HIV-positive,10,0.287,6231.344,cpost-ACF,ACF.cpost-ACF
2015,2,females,30-39,ACF,21963,a) HIV-negative,4,0.287,15659.619,cpost-ACF,ACF.cpost-ACF
2015,2,females,30-39,ACF,21963,b) HIV-positive,9,0.287,6303.381,cpost-ACF,ACF.cpost-ACF
2015,3,females,30-39,ACF,22214,a) HIV-negative,5,0.287,15838.582,cpost-ACF,ACF.cpost-ACF
2015,3,females,30-39,ACF,22214,b) HIV-positive,8,0.287,6375.418,cpost-ACF,ACF.cpost-ACF
2015,4,females,30-39,ACF,22466,a) HIV-negative,1,0.287,16018.258,cpost-ACF,ACF.cpost-ACF
2015,4,females,30-39,ACF,22466,b) HIV-positive,9,0.287,6447.742,cpost-ACF,ACF.cpost-ACF
2016,1,females,30-39,ACF,22717,a) HIV-negative,2,0.287,16197.221,cpost-ACF,ACF.cpost-ACF
2016,1,females,30-39,ACF,22717,b) HIV-positive,17,0.287,6519.779,cpost-ACF,ACF.cpost-ACF
2016,2,females,30-39,ACF,22968,a) HIV-negative,2,0.287,16376.184,cpost-ACF,ACF.cpost-ACF
2016,2,females,30-39,ACF,22968,b) HIV-positive,5,0.287,6591.816,cpost-ACF,ACF.cpost-ACF
2016,3,females,30-39,ACF,23219,a) HIV-negative,1,0.287,16555.147,cpost-ACF,ACF.cpost-ACF
2016,3,females,30-39,ACF,23219,b) HIV-positive,9,0.287,6663.853,cpost-ACF,ACF.cpost-ACF
2016,4,females,30-39,ACF,23470,a) HIV-negative,5,0.287,16734.11,cpost-ACF,ACF.cpost-ACF
2016,4,females,30-39,ACF,23470,b) HIV-positive,15,0.287,6735.89,cpost-ACF,ACF.cpost-ACF
2017,1,females,30-39,ACF,23722,a) HIV-negative,4,0.287,16913.786,cpost-ACF,ACF.cpost-ACF
2017,1,females,30-39,ACF,23722,b) HIV-positive,11,0.287,6808.214,cpost-ACF,ACF.cpost-ACF
2017,2,females,30-39,ACF,23973,a) HIV-negative,1,0.287,17092.749,cpost-ACF,ACF.cpost-ACF
2017,2,females,30-39,ACF,23973,b) HIV-positive,11,0.287,6880.251,cpost-ACF,ACF.cpost-ACF
2017,3,females,30-39,ACF,24224,a) HIV-negative,1,0.287,17271.712,cpost-ACF,ACF.cpost-ACF
2017,3,females,30-39,ACF,24224,b) HIV-positive,11,0.287,6952.288,cpost-ACF,ACF.cpost-ACF
2017,4,females,30-39,ACF,24476,b) HIV-positive,6,0.287,7024.612,cpost-ACF,ACF.cpost-ACF
2018,1,females,30-39,ACF,24726,a) HIV-negative,6,0.287,17629.638,cpost-ACF,ACF.cpost-ACF
2018,1,females,30-39,ACF,24726,b) HIV-positive,3,0.287,7096.362,cpost-ACF,ACF.cpost-ACF
2018,2,females,30-39,ACF,24978,a) HIV-negative,1,0.287,17809.314,cpost-ACF,ACF.cpost-ACF
2018,2,females,30-39,ACF,24978,b) HIV-positive,3,0.287,7168.686,cpost-ACF,ACF.cpost-ACF
2018,3,females,30-39,ACF,25223,a) HIV-negative,5,0.287,17983.999,cpost-ACF,ACF.cpost-ACF
2018,3,females,30-39,ACF,25223,b) HIV-positive,7,0.287,7239.001,cpost-ACF,ACF.cpost-ACF
2018,4,females,30-39,ACF,25471,a) HIV-negative,1,0.287,18160.823,cpost-ACF,ACF.cpost-ACF
2018,4,females,30-39,ACF,25471,b) HIV-positive,2,0.287,7310.177,cpost-ACF,ACF.cpost-ACF
2009,1,males,30-39,ACF,16323,,7,0.166,,apre-ACF,ACF.apre-ACF
2009,1,males,30-39,ACF,16323,a) HIV-negative,1,0.166,13613.382,apre-ACF,ACF.apre-ACF
2009,1,males,30-39,ACF,16323,b) HIV-positive,11,0.166,2709.618,apre-ACF,ACF.apre-ACF
2009,2,males,30-39,ACF,16419,,4,0.166,,apre-ACF,ACF.apre-ACF
2009,2,males,30-39,ACF,16419,b) HIV-positive,10,0.166,2725.554,apre-ACF,ACF.apre-ACF
2009,3,males,30-39,ACF,16515,,5,0.166,,apre-ACF,ACF.apre-ACF
2009,3,males,30-39,ACF,16515,a) HIV-negative,2,0.166,13773.51,apre-ACF,ACF.apre-ACF
2009,3,males,30-39,ACF,16515,b) HIV-positive,6,0.166,2741.49,apre-ACF,ACF.apre-ACF
2009,4,males,30-39,ACF,16612,,1,0.166,,apre-ACF,ACF.apre-ACF
2009,4,males,30-39,ACF,16612,a) HIV-negative,5,0.166,13854.408,apre-ACF,ACF.apre-ACF
2009,4,males,30-39,ACF,16612,b) HIV-positive,5,0.166,2757.592,apre-ACF,ACF.apre-ACF
2010,1,males,30-39,ACF,16708,,6,0.166,,apre-ACF,ACF.apre-ACF
2010,1,males,30-39,ACF,16708,a) HIV-negative,5,0.166,13934.472,apre-ACF,ACF.apre-ACF
2010,1,males,30-39,ACF,16708,b) HIV-positive,7,0.166,2773.528,apre-ACF,ACF.apre-ACF
2010,2,males,30-39,ACF,16804,,6,0.166,,apre-ACF,ACF.apre-ACF
2010,2,males,30-39,ACF,16804,b) HIV-positive,10,0.166,2789.464,apre-ACF,ACF.apre-ACF
2010,3,males,30-39,ACF,16900,,17,0.166,,apre-ACF,ACF.apre-ACF
2010,3,males,30-39,ACF,16900,a) HIV-negative,6,0.166,14094.6,apre-ACF,ACF.apre-ACF
2010,3,males,30-39,ACF,16900,b) HIV-positive,13,0.166,2805.4,apre-ACF,ACF.apre-ACF
2010,4,males,30-39,ACF,16997,,6,0.166,,apre-ACF,ACF.apre-ACF
2010,4,males,30-39,ACF,16997,a) HIV-negative,4,0.166,14175.498,apre-ACF,ACF.apre-ACF
2010,4,males,30-39,ACF,16997,b) HIV-positive,15,0.166,2821.502,apre-ACF,ACF.apre-ACF
2011,1,males,30-39,ACF,17093,,8,0.166,,apre-ACF,ACF.apre-ACF
2011,1,males,30-39,ACF,17093,a) HIV-negative,3,0.166,14255.562,apre-ACF,ACF.apre-ACF
2011,1,males,30-39,ACF,17093,b) HIV-positive,10,0.166,2837.438,apre-ACF,ACF.apre-ACF
2011,2,males,30-39,ACF,17189,,9,0.166,,bACF,ACF.bACF
2011,2,males,30-39,ACF,17189,a) HIV-negative,4,0.166,14335.626,bACF,ACF.bACF
2011,2,males,30-39,ACF,17189,b) HIV-positive,27,0.166,2853.374,bACF,ACF.bACF
2011,3,males,30-39,ACF,17285,,7,0.166,,bACF,ACF.bACF
2011,3,males,30-39,ACF,17285,a) HIV-negative,9,0.166,14415.69,bACF,ACF.bACF
2011,3,males,30-39,ACF,17285,b) HIV-positive,25,0.166,2869.31,bACF,ACF.bACF
2011,4,males,30-39,ACF,17381,,4,0.166,,bACF,ACF.bACF
2011,4,males,30-39,ACF,17381,a) HIV-negative,11,0.166,14495.754,bACF,ACF.bACF
2011,4,males,30-39,ACF,17381,b) HIV-positive,24,0.166,2885.246,bACF,ACF.bACF
2012,1,males,30-39,ACF,17478,,4,0.166,,bACF,ACF.bACF
2012,1,males,30-39,ACF,17478,a) HIV-negative,7,0.166,14576.652,bACF,ACF.bACF
2012,1,males,30-39,ACF,17478,b) HIV-positive,17,0.166,2901.348,bACF,ACF.bACF
2012,2,males,30-39,ACF,17573,,8,0.166,,bACF,ACF.bACF
2012,2,males,30-39,ACF,17573,a) HIV-negative,9,0.166,14655.882,bACF,ACF.bACF
2012,2,males,30-39,ACF,17573,b) HIV-positive,21,0.166,2917.118,bACF,ACF.bACF
2012,3,males,30-39,ACF,17670,,2,0.166,,bACF,ACF.bACF
2012,3,males,30-39,ACF,17670,a) HIV-negative,9,0.166,14736.78,bACF,ACF.bACF
2012,3,males,30-39,ACF,17670,b) HIV-positive,13,0.166,2933.22,bACF,ACF.bACF
2012,4,males,30-39,ACF,17766,,4,0.166,,bACF,ACF.bACF
2012,4,males,30-39,ACF,17766,a) HIV-negative,5,0.166,14816.844,bACF,ACF.bACF
2012,4,males,30-39,ACF,17766,b) HIV-positive,13,0.166,2949.156,bACF,ACF.bACF
2013,1,males,30-39,ACF,17862,,1,0.166,,bACF,ACF.bACF
2013,1,males,30-39,ACF,17862,a) HIV-negative,3,0.166,14896.908,bACF,ACF.bACF
2013,1,males,30-39,ACF,17862,b) HIV-positive,13,0.166,2965.092,bACF,ACF.bACF
2013,2,males,30-39,ACF,17959,a) HIV-negative,7,0.166,14977.806,bACF,ACF.bACF
2013,2,males,30-39,ACF,17959,b) HIV-positive,19,0.166,2981.194,bACF,ACF.bACF
2013,3,males,30-39,ACF,18055,,2,0.166,,bACF,ACF.bACF
2013,3,males,30-39,ACF,18055,a) HIV-negative,6,0.166,15057.87,bACF,ACF.bACF
2013,3,males,30-39,ACF,18055,b) HIV-positive,25,0.166,2997.13,bACF,ACF.bACF
2013,4,males,30-39,ACF,18151,,1,0.166,,bACF,ACF.bACF
2013,4,males,30-39,ACF,18151,a) HIV-negative,3,0.166,15137.934,bACF,ACF.bACF
2013,4,males,30-39,ACF,18151,b) HIV-positive,19,0.166,3013.066,bACF,ACF.bACF
2014,1,males,30-39,ACF,18247,,4,0.166,,bACF,ACF.bACF
2014,1,males,30-39,ACF,18247,a) HIV-negative,6,0.166,15217.998,bACF,ACF.bACF
2014,1,males,30-39,ACF,18247,b) HIV-positive,24,0.166,3029.002,bACF,ACF.bACF
2014,2,males,30-39,ACF,18344,,3,0.166,,bACF,ACF.bACF
2014,2,males,30-39,ACF,18344,a) HIV-negative,11,0.166,15298.896,bACF,ACF.bACF
2014,2,males,30-39,ACF,18344,b) HIV-positive,22,0.166,3045.104,bACF,ACF.bACF
2014,3,males,30-39,ACF,18439,,7,0.166,,bACF,ACF.bACF
2014,3,males,30-39,ACF,18439,a) HIV-negative,4,0.166,15378.126,bACF,ACF.bACF
2014,3,males,30-39,ACF,18439,b) HIV-positive,22,0.166,3060.874,bACF,ACF.bACF
2014,4,males,30-39,ACF,18536,,3,0.166,,cpost-ACF,ACF.cpost-ACF
2014,4,males,30-39,ACF,18536,a) HIV-negative,9,0.166,15459.024,cpost-ACF,ACF.cpost-ACF
2014,4,males,30-39,ACF,18536,b) HIV-positive,29,0.166,3076.976,cpost-ACF,ACF.cpost-ACF
2015,1,males,30-39,ACF,18632,,6,0.166,,cpost-ACF,ACF.cpost-ACF
2015,1,males,30-39,ACF,18632,a) HIV-negative,11,0.166,15539.088,cpost-ACF,ACF.cpost-ACF
2015,1,males,30-39,ACF,18632,b) HIV-positive,24,0.166,3092.912,cpost-ACF,ACF.cpost-ACF
2015,2,males,30-39,ACF,18728,,4,0.166,,cpost-ACF,ACF.cpost-ACF
2015,2,males,30-39,ACF,18728,a) HIV-negative,6,0.166,15619.152,cpost-ACF,ACF.cpost-ACF
2015,2,males,30-39,ACF,18728,b) HIV-positive,18,0.166,3108.848,cpost-ACF,ACF.cpost-ACF
2015,3,males,30-39,ACF,18824,,1,0.166,,cpost-ACF,ACF.cpost-ACF
2015,3,males,30-39,ACF,18824,a) HIV-negative,4,0.166,15699.216,cpost-ACF,ACF.cpost-ACF
2015,3,males,30-39,ACF,18824,b) HIV-positive,16,0.166,3124.784,cpost-ACF,ACF.cpost-ACF
2015,4,males,30-39,ACF,18921,,1,0.166,,cpost-ACF,ACF.cpost-ACF
2015,4,males,30-39,ACF,18921,a) HIV-negative,10,0.166,15780.114,cpost-ACF,ACF.cpost-ACF
2015,4,males,30-39,ACF,18921,b) HIV-positive,14,0.166,3140.886,cpost-ACF,ACF.cpost-ACF
2016,1,males,30-39,ACF,19017,,1,0.166,,cpost-ACF,ACF.cpost-ACF
2016,1,males,30-39,ACF,19017,a) HIV-negative,11,0.166,15860.178,cpost-ACF,ACF.cpost-ACF
2016,1,males,30-39,ACF,19017,b) HIV-positive,20,0.166,3156.822,cpost-ACF,ACF.cpost-ACF
2016,2,males,30-39,ACF,19113,,2,0.166,,cpost-ACF,ACF.cpost-ACF
2016,2,males,30-39,ACF,19113,a) HIV-negative,10,0.166,15940.242,cpost-ACF,ACF.cpost-ACF
2016,2,males,30-39,ACF,19113,b) HIV-positive,18,0.166,3172.758,cpost-ACF,ACF.cpost-ACF
2016,3,males,30-39,ACF,19209,,1,0.166,,cpost-ACF,ACF.cpost-ACF
2016,3,males,30-39,ACF,19209,a) HIV-negative,12,0.166,16020.306,cpost-ACF,ACF.cpost-ACF
2016,3,males,30-39,ACF,19209,b) HIV-positive,18,0.166,3188.694,cpost-ACF,ACF.cpost-ACF
2016,4,males,30-39,ACF,19305,,1,0.166,,cpost-ACF,ACF.cpost-ACF
2016,4,males,30-39,ACF,19305,a) HIV-negative,10,0.166,16100.37,cpost-ACF,ACF.cpost-ACF
2016,4,males,30-39,ACF,19305,b) HIV-positive,16,0.166,3204.63,cpost-ACF,ACF.cpost-ACF
2017,1,males,30-39,ACF,19402,,2,0.166,,cpost-ACF,ACF.cpost-ACF
2017,1,males,30-39,ACF,19402,a) HIV-negative,10,0.166,16181.268,cpost-ACF,ACF.cpost-ACF
2017,1,males,30-39,ACF,19402,b) HIV-positive,24,0.166,3220.732,cpost-ACF,ACF.cpost-ACF
2017,2,males,30-39,ACF,19498,,1,0.166,,cpost-ACF,ACF.cpost-ACF
2017,2,males,30-39,ACF,19498,a) HIV-negative,7,0.166,16261.332,cpost-ACF,ACF.cpost-ACF
2017,2,males,30-39,ACF,19498,b) HIV-positive,12,0.166,3236.668,cpost-ACF,ACF.cpost-ACF
2017,3,males,30-39,ACF,19594,a) HIV-negative,4,0.166,16341.396,cpost-ACF,ACF.cpost-ACF
2017,3,males,30-39,ACF,19594,b) HIV-positive,13,0.166,3252.604,cpost-ACF,ACF.cpost-ACF
2017,4,males,30-39,ACF,19690,a) HIV-negative,6,0.166,16421.46,cpost-ACF,ACF.cpost-ACF
2017,4,males,30-39,ACF,19690,b) HIV-positive,14,0.166,3268.54,cpost-ACF,ACF.cpost-ACF
2018,1,males,30-39,ACF,19786,a) HIV-negative,7,0.166,16501.524,cpost-ACF,ACF.cpost-ACF
2018,1,males,30-39,ACF,19786,b) HIV-positive,16,0.166,3284.476,cpost-ACF,ACF.cpost-ACF
2018,2,males,30-39,ACF,19883,a) HIV-negative,8,0.166,16582.422,cpost-ACF,ACF.cpost-ACF
2018,2,males,30-39,ACF,19883,b) HIV-positive,9,0.166,3300.578,cpost-ACF,ACF.cpost-ACF
2018,3,males,30-39,ACF,19977,a) HIV-negative,10,0.166,16660.818,cpost-ACF,ACF.cpost-ACF
2018,3,males,30-39,ACF,19977,b) HIV-positive,15,0.166,3316.182,cpost-ACF,ACF.cpost-ACF
2018,4,males,30-39,ACF,20072,a) HIV-negative,6,0.166,16740.048,cpost-ACF,ACF.cpost-ACF
2018,4,males,30-39,ACF,20072,b) HIV-positive,10,0.166,3331.952,cpost-ACF,ACF.cpost-ACF
2009,1,females,40-49,ACF,5611,,1,0.32,,apre-ACF,ACF.apre-ACF
2009,1,females,40-49,ACF,5611,b) HIV-positive,3,0.32,1795.52,apre-ACF,ACF.apre-ACF
2009,2,females,40-49,ACF,5700,b) HIV-positive,2,0.32,1824,apre-ACF,ACF.apre-ACF
2009,3,females,40-49,ACF,5789,,,0.32,,apre-ACF,ACF.apre-ACF
2009,4,females,40-49,ACF,5877,a) HIV-negative,1,0.32,3996.36,apre-ACF,ACF.apre-ACF
2009,4,females,40-49,ACF,5877,b) HIV-positive,1,0.32,1880.64,apre-ACF,ACF.apre-ACF
2010,1,females,40-49,ACF,5966,b) HIV-positive,3,0.32,1909.12,apre-ACF,ACF.apre-ACF
2010,2,females,40-49,ACF,6055,a) HIV-negative,2,0.32,4117.4,apre-ACF,ACF.apre-ACF
